City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,rundu,-17.9333,19.7667,19.6,35,6,1.68,NA,1727323717
156,gore,-46.1028,168.9436,6.3,98,100,1.57,NZ,1727323717
157,port lincoln,-34.7333,135.8667,13.34,53,4,4.72,AU,1727323718
158,fort beaufort,-32.7748,26.6338,14.94,88,100,3.74,ZA,1727323718
159,bankim,6.083,11.4905,19.7,96,100,0.36,CM,1727323718
160,puquio,-14.7,-74.1333,9.25,40,58,1.27,PE,1727323718
161,lihue,21.9789,-159.3672,26.77,71,20,5.14,US,1727323718
162,rikaze,29.25,88.8833,12.8,50,100,1.12,CN,1727323719
163,souillac,-20.5167,57.5167,22.95,69,14,5.91,MU,1727323719
164,narrabri,-30.3167,149.7833,20.45,61,99,1.86,AU,1727323719
165,taoudenni,22.6783,-3.9836,33.1,27,0,5.24,ML,1727323719
166,touros,-5.1989,-35.4608,24.33,75,7,7.34,BR,1727323704
167,igarka,67.4667,86.5833,1.74,97,100,2.58,RU,1727323720
168,el galpon,-25.3807,-64.6526,21.54,52,100,3.46,AR,1727323720
169,shelby,35.2001,-89.8668,18.57,89,0,1.54,US,1727323720
170,talnakh,69.4865,88.3972,2.32,78,75,1.16,RU,1727323721
171,erenhot,43.6475,111.9767,17.74,43,12,4.88,CN,1727323721
172,dunedin,-45.8742,170.5036,5.45,96,100,3.58,NZ,1727323721
173,mahina,-17.5065,-149.489,26.87,74,75,2.06,PF,1727323721
174,papao,-17.75,-149.55,26.82,79,30,4.95,PF,1727323721
175,new norfolk,-42.7826,147.0587,13.84,46,99,3.58,AU,1727323721
176,fort bragg,35.139,-79.006,24.85,90,75,1.54,US,1727323722
177,utrik,11.2278,169.8474,28.89,74,11,4.71,MH,1727323722
178,llucmajor,39.4909,2.8911,22.58,89,12,7.73,ES,1727323722
179,st. john's,47.5649,-52.7093,11.1,95,100,5.36,CA,1727323504
180,zheshart,62.0731,49.5733,9.31,70,62,3.62,RU,1727323722
181,bronte,37.7895,14.8342,16.41,51,15,1.16,IT,1727323723
182,kapa'a,22.0752,-159.319,27.18,73,20,5.14,US,1727323723
183,acarau,-2.8856,-40.12,24.9,80,40,6.94,BR,1727323723
184,najran,17.4924,44.1277,25.54,23,100,0.53,SA,1727323723
185,whitehorse,60.7161,-135.0538,5.45,93,75,2.06,CA,1727323453
186,uruzgan,32.8333,66.0,26.46,9,0,1.14,AF,1727323723
187,malango,-2.9627,119.9001,26.87,69,98,1.87,ID,1727323724
188,nagqu,31.5,92.0,10.09,28,0,2.1,CN,1727323724
189,wailua homesteads,22.0669,-159.378,26.44,76,20,5.14,US,1727323724
190,santana,-0.0583,-51.1817,28.1,89,20,2.57,BR,1727323609
191,tolanaro,-25.0319,46.9987,21.96,87,85,4.82,MG,1727323724
192,tazovsky,67.4667,78.7,0.82,90,100,7.73,RU,1727323724
193,kapuskasing,49.4169,-82.4331,11.14,97,92,1.92,CA,1727323725
194,alotau,-10.3069,150.4462,28.04,79,98,2.73,PG,1727323725
195,vila velha,-20.3297,-40.2925,23.86,86,40,4.47,BR,1727323715
196,lom sak,16.7798,101.2422,25.37,89,89,1.13,TH,1727323726
197,noshiro,40.2039,140.0242,25.05,65,37,2.7,JP,1727323726
198,mata-utu,-13.2816,-176.1745,26.52,81,13,9.21,WF,1727323726
199,kosong,38.3788,128.4676,22.0,87,21,3.54,KR,1727323727
200,ende,-8.8432,121.6623,30.8,59,57,3.76,ID,1727323665
201,brookings,44.3114,-96.7984,17.32,67,0,3.6,US,1727323727
202,canas,10.4294,-85.0931,25.89,90,100,0.74,CR,1727323727
203,kununurra,-15.7667,128.7333,33.99,43,99,3.09,AU,1727323727
204,timimoun,29.2639,0.231,29.03,36,1,2.13,DZ,1727323728
205,bereket,39.2446,55.5154,18.95,49,0,4.01,TM,1727323728
206,morehead city,34.7229,-76.726,26.0,85,20,2.68,US,1727323535
207,quelimane,-17.8786,36.8883,19.07,81,0,1.38,MZ,1727323729
208,margate,51.3813,1.3862,12.71,92,86,3.78,GB,1727323729
209,kuala terengganu,5.3302,103.1408,28.57,71,100,1.85,MY,1727323729
210,nar'yan-mar,67.6713,53.087,5.98,92,100,6.21,RU,1727323729
211,keflavik,64.0049,-22.5624,3.24,87,20,0.51,IS,1727323730
212,urangan,-25.3,152.9,21.18,71,75,7.58,AU,1727323730
213,coquimbo,-29.9533,-71.3436,11.85,88,0,4.12,CL,1727323730
214,nyurba,63.2842,118.3319,6.65,69,97,4.56,RU,1727323730
215,labuan,5.2767,115.2417,26.94,77,100,2.23,MY,1727323730
216,kapelle-op-den-bos,51.0167,4.3667,15.49,93,75,4.12,BE,1727323730
217,santa ana,33.7456,-117.8678,18.84,82,40,3.6,US,1727323731
218,tinajo,29.0788,-13.7081,20.49,83,0,3.6,ES,1727323731
219,kijang,35.2442,129.2139,24.39,68,88,2.97,KR,1727323731
220,vilcun,-38.65,-72.2333,0.72,94,64,0.63,CL,1727323731
221,debre werk',10.6667,38.1667,12.57,76,98,1.19,ET,1727323731
222,balykchy,42.4557,76.1861,15.79,54,99,3.63,KG,1727323731
223,faya-largeau,17.9257,19.1043,31.58,23,0,5.28,TD,1727323732
224,minas de marcona,-15.2119,-75.1103,9.53,93,63,5.58,PE,1727323732
225,tateyama,34.9833,139.8667,25.66,77,40,0.92,JP,1727323732
226,egilsstadir,65.2653,-14.3948,-0.96,92,99,1.51,IS,1727323732
227,neiafu,-18.65,-173.9833,25.38,69,40,6.17,TO,1727323732
228,punta arenas,-53.15,-70.9167,3.06,93,75,7.2,CL,1727323733
229,namibe,-15.1961,12.1522,18.88,93,94,0.58,AO,1727323733
230,lindsay,36.203,-119.0882,27.11,47,0,2.06,US,1727323733
231,pasni,25.2631,63.471,28.83,65,51,2.14,PK,1727323576
232,illizi,26.4833,8.4667,31.3,30,45,4.56,DZ,1727323733
